time,position,velocity,acceleration
1.690000000000000213e+01,2.807935000000001402e+00,-6.677000000000141711e-01,-9.809999999974977625e-02
1.700000000000000000e+01,2.741165000000001406e+00,-6.775099999999892875e-01,-9.810000000023509636e-02
1.710000000000000142e+01,2.673414000000001511e+00,-6.873200000000125875e-01,-9.809999999974311491e-02
1.719999999999999929e+01,2.604682000000001718e+00,-6.971299999999870378e-01,-9.810000000003177290e-02
1.730000000000000071e+01,2.534969000000002026e+00,-7.069399999999903539e-01,-9.810000000024508837e-02
1.740000000000000213e+01,2.464275000000001992e+00,-7.167500000000146532e-01,-9.809999999973201268e-02
1.750000000000000000e+01,2.392600000000002058e+00,-7.265599999999879932e-01,-9.810000000025174971e-02
1.760000000000000142e+01,2.319944000000002227e+00,-7.363700000000129586e-01,-9.809999999976976026e-02
1.769999999999999929e+01,2.246307000000002496e+00,-7.461799999999900734e-01,-9.809999999998736397e-02
1.780000000000000071e+01,2.171689000000002423e+00,-7.559899999999889486e-01,-9.810000000026285194e-02
1.790000000000000213e+01,2.096090000000002451e+00,-7.658000000000150242e-01,-9.809999999971535933e-02
1.800000000000000000e+01,2.019510000000002581e+00,-7.756099999999866990e-01,-9.810000000029171774e-02
1.810000000000000142e+01,1.941949000000002812e+00,-7.854200000000156612e-01,-9.809999999970758777e-02
1.819999999999999929e+01,1.863407000000002922e+00,-7.952299999999865587e-01,-9.810000000000956843e-02
1.830000000000000071e+01,1.783884000000003134e+00,-8.050399999999876544e-01,-9.810000000027950529e-02
1.840000000000000213e+01,1.703380000000003225e+00,-8.148500000000153953e-01,-9.809999999971980023e-02
1.850000000000000000e+01,1.621895000000003417e+00,-8.246599999999875141e-01,-9.810000000028727685e-02
1.860000000000000142e+01,1.539429000000003489e+00,-8.344700000000160323e-01,-9.809999999971313889e-02
1.869999999999999929e+01,1.455982000000003662e+00,-8.442799999999874849e-01,-9.809999999998736397e-02
1.880000000000000071e+01,1.371554000000003715e+00,-8.540899999999863601e-01,-9.810000000031947331e-02
1.890000000000000213e+01,1.286145000000003868e+00,-8.639000000000180979e-01,-9.809999999967983220e-02
1.900000000000000000e+01,1.199755000000003902e+00,-8.737099999999862199e-01,-9.810000000000956843e-02
1.910000000000000142e+01,1.112384000000004036e+00,-8.835199999999873155e-01,-9.810000000030837108e-02
1.920000000000000284e+01,1.024032000000004050e+00,-8.933300000000179431e-01,-9.809999999967983220e-02
1.930000000000000071e+01,9.346990000000041654e-01,-9.031399999999860650e-01,-9.810000000032613465e-02
1.940000000000000213e+01,8.443850000000042710e-01,-9.129500000000184690e-01,-9.809999999967428108e-02
1.950000000000000000e+01,7.530900000000043670e-01,-9.227599999999860358e-01,-9.809999999999846620e-02
1.960000000000000142e+01,6.608140000000044534e-01,-9.325699999999860212e-01,-9.810000000033612666e-02
1.970000000000000284e+01,5.675570000000045301e-01,-9.423800000000194244e-01,-9.809999999966317885e-02
1.980000000000000071e+01,4.733190000000045972e-01,-9.521899999999858810e-01,-9.810000000034389822e-02
1.990000000000000213e+01,3.781000000000046546e-01,-9.620000000000200613e-01,-9.809999999965651751e-02
2.000000000000000000e+01,2.819000000000047024e-01,-9.718099999999858518e-01,-9.809999999999624576e-02
2.010000000000000142e+01,1.847190000000047405e-01,-9.816199999999856152e-01,1.160499999999218490e+00
2.020000000000000284e+01,8.655700000000478289e-02,-8.655700000000662309e-01,1.648904000000031189e+01
2.030000000000000071e+01,0.000000000000000000e+00,7.833339999999885395e-01,-9.809999999972661422e-02
2.040000000000000213e+01,7.833339999999996972e-02,7.735240000000160876e-01,-9.810000000027047085e-02
2.050000000000000000e+01,1.556857999999999298e-01,7.637139999999889017e-01,-9.809999999999735598e-02
2.060000000000000142e+01,2.320571999999999080e-01,7.539039999999890274e-01,-9.809999999973216533e-02
2.070000000000000284e+01,3.074475999999998765e-01,7.440940000000160204e-01,-9.810000000026269928e-02
2.080000000000000071e+01,3.818569999999998910e-01,7.342839999999896117e-01,-9.809999999974437779e-02
2.090000000000000213e+01,4.552853999999998957e-01,7.244740000000153834e-01,-9.810000000024937661e-02
2.100000000000000000e+01,5.277327999999998909e-01,7.146639999999903070e-01,-9.809999999999846620e-02
2.110000000000000142e+01,5.991991999999999319e-01,7.048539999999903216e-01,-9.809999999975548002e-02
2.120000000000000284e+01,6.696845999999999632e-01,6.950440000000149832e-01,-9.810000000024493572e-02
2.130000000000000071e+01,7.391889999999999850e-01,6.852339999999903508e-01,-9.809999999976103113e-02
2.140000000000000213e+01,8.077123999999999970e-01,6.754240000000144573e-01,-9.810000000023827438e-02
2.150000000000000000e+01,8.752547999999999995e-01,6.656139999999904910e-01,-9.809999999998736397e-02
2.160000000000000142e+01,9.418161999999999923e-01,6.558039999999916159e-01,-9.809999999977213336e-02
2.170000000000000284e+01,1.007396600000000086e+00,6.459940000000146121e-01,-9.810000000023827438e-02
2.180000000000000071e+01,1.071996000000000171e+00,6.361839999999906459e-01,-9.809999999976880269e-02
2.190000000000000213e+01,1.135614400000000135e+00,6.263740000000139752e-01,-9.810000000023161304e-02
2.200000000000000000e+01,1.198251800000000200e+00,6.165639999999906751e-01,-9.809999999998736397e-02
2.210000000000000142e+01,1.259908200000000145e+00,6.067539999999917999e-01,-9.809999999977768448e-02
2.220000000000000284e+01,1.320583600000000191e+00,5.969440000000142410e-01,-9.810000000022162103e-02
2.230000000000000071e+01,1.380278000000000338e+00,5.871339999999919401e-01,-9.809999999978545604e-02
